feature,importance
TermInMonths,257
InitialInterestRate,207
SBAGuaranteedApproval,187
GrossApproval,158
CongressionalDistrict,113
JobsSupported,65
Subprogram_FA$TRK (Small Loan Express),29
Subprogram_Guaranty,26
BusinessAge_New Business or 2 years or less,23
BusinessAge_Existing or more than 2 years old,23
NaicsSector_Construction,22
FixedOrVariableInterestInd_V,20
CollateralInd_Y,18
ApprovalFiscalYear_2021,17
"BusinessAge_Startup, Loan Funds will Open Business",15
NaicsSector_Retail trade,15
BusinessType_INDIVIDUAL,14
NaicsSector_Professional_scientific_technical services,13
ApprovalFiscalYear_2022,12
BusinessAge_Unanswered,12
NaicsSector_Agriculture_forestry_fishing_hunting,12
RevolverStatus_1,11
NaicsSector_Other services (except public administration) ,10
BusinessType_PARTNERSHIP,10
ApprovalFiscalYear_2023,9
NaicsSector_Manufacturing,8
NaicsSector_Transportation_warehousing,6
NaicsSector_Administrative_support_waste management_remediation services,6
NaicsSector_Finance_insurance,6
NaicsSector_Real estate_rental_leasing,6
ApprovalFiscalYear_2024,5
NaicsSector_Arts_entertainment_recreation,5
"Subprogram_International Trade - Sec, 7(a) (16)",5
Subprogram_Contract Guaranty,5
NaicsSector_Wholesale trade,5
Subprogram_Standard Asset Based,4
NaicsSector_Educational services,3
NaicsSector_Health care_social assistance,3
Subprogram_Small General Contractors - Sec. 7(a) (9),0
Subprogram_Revolving Line of Credit Exports - Sec. 7(a) (14),0
Subprogram_Seasonal Line of Credit,0
NaicsSector_Mining_quarrying_oil_gas extraction,0
NaicsSector_Management of companies_enterprises,0
NaicsSector_Information,0
NaicsSector_Utilities,0
