bin,count,feature
"(1.733, 3.467]",1461,CongressionalDistrict
"(3.467, 5.2]",897,CongressionalDistrict
"(-0.053, 1.733]",826,CongressionalDistrict
"(6.933, 8.667]",469,CongressionalDistrict
"(24.267, 26.0]",372,CongressionalDistrict
"(8.667, 10.4]",368,CongressionalDistrict
"(22.533, 24.267]",352,CongressionalDistrict
"(5.2, 6.933]",344,CongressionalDistrict
"(10.4, 12.133]",308,CongressionalDistrict
"(17.333, 19.067]",226,CongressionalDistrict
"(20.8, 22.533]",217,CongressionalDistrict
"(15.6, 17.333]",213,CongressionalDistrict
"(13.867, 15.6]",195,CongressionalDistrict
"(27.733, 29.467]",158,CongressionalDistrict
"(12.133, 13.867]",147,CongressionalDistrict
"(26.0, 27.733]",130,CongressionalDistrict
"(34.667, 36.4]",106,CongressionalDistrict
"(19.067, 20.8]",99,CongressionalDistrict
"(32.933, 34.667]",98,CongressionalDistrict
"(29.467, 31.2]",81,CongressionalDistrict
"(36.4, 38.133]",79,CongressionalDistrict
"(46.8, 48.533]",73,CongressionalDistrict
"(39.867, 41.6]",57,CongressionalDistrict
"(43.333, 45.067]",57,CongressionalDistrict
"(48.533, 50.267]",49,CongressionalDistrict
"(41.6, 43.333]",47,CongressionalDistrict
"(31.2, 32.933]",44,CongressionalDistrict
"(45.067, 46.8]",29,CongressionalDistrict
"(50.267, 52.0]",26,CongressionalDistrict
"(38.133, 39.867]",24,CongressionalDistrict
