bin,count,feature
"(9.999, 171333.333]",3573,GrossApproval
"(171333.333, 337666.667]",1058,GrossApproval
"(337666.667, 504000.0]",571,GrossApproval
"(504000.0, 670333.333]",307,GrossApproval
"(836666.667, 1003000.0]",190,GrossApproval
"(1003000.0, 1169333.333]",186,GrossApproval
"(670333.333, 836666.667]",182,GrossApproval
"(2001000.0, 2167333.333]",104,GrossApproval
"(1834666.667, 2001000.0]",102,GrossApproval
"(2167333.333, 2333666.667]",101,GrossApproval
"(1668333.333, 1834666.667]",100,GrossApproval
"(1335666.667, 1502000.0]",99,GrossApproval
"(2333666.667, 2500000.0]",92,GrossApproval
"(2500000.0, 2666333.333]",90,GrossApproval
"(1502000.0, 1668333.333]",84,GrossApproval
"(2832666.667, 2999000.0]",72,GrossApproval
"(1169333.333, 1335666.667]",70,GrossApproval
"(3331666.667, 3498000.0]",66,GrossApproval
"(3165333.333, 3331666.667]",65,GrossApproval
"(4828666.667, 4995000.0]",64,GrossApproval
"(2666333.333, 2832666.667]",54,GrossApproval
"(2999000.0, 3165333.333]",49,GrossApproval
"(3498000.0, 3664333.333]",47,GrossApproval
"(3664333.333, 3830666.667]",44,GrossApproval
"(4662333.333, 4828666.667]",44,GrossApproval
"(4496000.0, 4662333.333]",38,GrossApproval
"(3830666.667, 3997000.0]",32,GrossApproval
"(3997000.0, 4163333.333]",27,GrossApproval
"(4329666.667, 4496000.0]",25,GrossApproval
"(4163333.333, 4329666.667]",16,GrossApproval
