bin,count,feature
"(4.755, 5.221]",758,InitialInterestRate
"(5.687, 6.152]",697,InitialInterestRate
"(5.221, 5.687]",650,InitialInterestRate
"(4.29, 4.755]",621,InitialInterestRate
"(8.946, 9.412]",458,InitialInterestRate
"(6.618, 7.084]",394,InitialInterestRate
"(3.824, 4.29]",390,InitialInterestRate
"(9.412, 9.878]",372,InitialInterestRate
"(7.084, 7.549]",340,InitialInterestRate
"(6.152, 6.618]",330,InitialInterestRate
"(9.878, 10.343]",281,InitialInterestRate
"(10.343, 10.809]",272,InitialInterestRate
"(10.809, 11.275]",248,InitialInterestRate
"(7.549, 8.015]",215,InitialInterestRate
"(8.481, 8.946]",214,InitialInterestRate
"(11.275, 11.74]",189,InitialInterestRate
"(8.015, 8.481]",152,InitialInterestRate
"(11.74, 12.206]",140,InitialInterestRate
"(13.603, 14.069]",107,InitialInterestRate
"(12.206, 12.672]",99,InitialInterestRate
"(13.137, 13.603]",94,InitialInterestRate
"(3.358, 3.824]",87,InitialInterestRate
"(14.069, 14.534]",80,InitialInterestRate
"(2.427, 2.893]",65,InitialInterestRate
"(12.672, 13.137]",64,InitialInterestRate
"(2.893, 3.358]",61,InitialInterestRate
"(14.534, 15.0]",56,InitialInterestRate
"(1.496, 1.961]",50,InitialInterestRate
"(1.961, 2.427]",43,InitialInterestRate
"(1.0150000000000001, 1.496]",25,InitialInterestRate
