bin,count,feature
"(-0.237, 7.867]",4744,JobsSupported
"(7.867, 15.733]",1069,JobsSupported
"(15.733, 23.6]",543,JobsSupported
"(23.6, 31.467]",345,JobsSupported
"(31.467, 39.333]",176,JobsSupported
"(39.333, 47.2]",144,JobsSupported
"(47.2, 55.067]",114,JobsSupported
"(55.067, 62.933]",49,JobsSupported
"(62.933, 70.8]",43,JobsSupported
"(70.8, 78.667]",37,JobsSupported
"(78.667, 86.533]",33,JobsSupported
"(86.533, 94.4]",31,JobsSupported
"(94.4, 102.267]",31,JobsSupported
"(102.267, 110.133]",27,JobsSupported
"(125.867, 133.733]",25,JobsSupported
"(118.0, 125.867]",17,JobsSupported
"(110.133, 118.0]",16,JobsSupported
"(141.6, 149.467]",13,JobsSupported
"(196.667, 204.533]",13,JobsSupported
"(133.733, 141.6]",12,JobsSupported
"(173.067, 180.933]",12,JobsSupported
"(157.333, 165.2]",11,JobsSupported
"(149.467, 157.333]",9,JobsSupported
"(165.2, 173.067]",9,JobsSupported
"(180.933, 188.8]",9,JobsSupported
"(188.8, 196.667]",8,JobsSupported
"(228.133, 236.0]",5,JobsSupported
"(204.533, 212.4]",4,JobsSupported
"(220.267, 228.133]",3,JobsSupported
"(212.4, 220.267]",0,JobsSupported
