bin,count,feature
"(114.1, 124.2]",2578,TermInMonths
"(295.9, 306.0]",976,TermInMonths
"(53.5, 63.6]",725,TermInMonths
"(83.8, 93.9]",603,TermInMonths
"(73.7, 83.8]",556,TermInMonths
"(33.3, 43.4]",421,TermInMonths
"(13.1, 23.2]",318,TermInMonths
"(2.696, 13.1]",266,TermInMonths
"(93.9, 104.0]",250,TermInMonths
"(23.2, 33.3]",148,TermInMonths
"(235.3, 245.4]",144,TermInMonths
"(43.4, 53.5]",102,TermInMonths
"(63.6, 73.7]",92,TermInMonths
"(124.2, 134.3]",52,TermInMonths
"(174.7, 184.8]",41,TermInMonths
"(154.5, 164.6]",35,TermInMonths
"(104.0, 114.1]",35,TermInMonths
"(164.6, 174.7]",34,TermInMonths
"(194.9, 205.0]",33,TermInMonths
"(225.2, 235.3]",28,TermInMonths
"(184.8, 194.9]",27,TermInMonths
"(144.4, 154.5]",23,TermInMonths
"(134.3, 144.4]",18,TermInMonths
"(285.8, 295.9]",18,TermInMonths
"(205.0, 215.1]",13,TermInMonths
"(245.4, 255.5]",9,TermInMonths
"(215.1, 225.2]",7,TermInMonths
"(255.5, 265.6]",0,TermInMonths
"(265.6, 275.7]",0,TermInMonths
"(275.7, 285.8]",0,TermInMonths
