日時,全体ピクセル数,有効ピクセル率,出力有無,観測時刻
2023-01-05,35009,0.0,False,03:17:38
2023-01-21,30388,0.977,False,03:17:33
2023-02-22,34756,0.0,False,03:17:21
2023-03-10,33857,0.901,False,03:17:12
2023-04-27,50534,0.185,False,03:16:44
2023-05-29,23202,0.117,False,03:16:32
2023-06-30,29421,0.977,False,03:16:49
2023-07-16,25904,0.0,False,03:16:56
2023-08-17,30377,0.871,False,03:17:10
2023-09-02,22479,0.002,False,03:17:13
2023-09-18,26059,0.0,False,03:17:18
2023-10-04,26310,0.626,False,03:17:21
2023-10-20,20728,0.0,False,03:17:22
2023-11-05,32330,0.312,False,03:17:25
2023-11-21,46800,0.982,False,03:17:28
2023-12-07,9443,0.943,False,03:17:19
2023-12-23,46727,0.982,False,03:17:27
2023-01-21,130743,0.976,False,03:17:57
2023-02-22,144528,0.0,False,03:17:45
2023-03-10,141695,0.963,False,03:17:36
2023-04-27,195917,0.199,False,03:17:08
2023-05-29,110738,0.488,False,03:16:56
2023-06-30,128381,0.864,False,03:17:13
2023-07-16,118257,0.0,False,03:17:20
2023-08-17,130956,0.932,False,03:17:34
2023-09-02,109004,0.777,False,03:17:37
2023-09-18,118486,0.797,False,03:17:42
2023-10-04,119240,0.732,False,03:17:45
2023-10-20,104141,0.0,False,03:17:46
2023-11-05,136845,0.236,False,03:17:49
2023-11-21,184162,0.978,False,03:17:52
2023-12-07,74897,0.97,False,03:17:43
2023-12-23,183715,0.976,False,03:17:51
2023-01-12,3480024,0.0,False,03:23:46
2023-02-13,3501388,0.49,False,03:23:42
2023-03-01,3482161,0.0,False,03:23:28
2023-03-17,3487457,0.052,False,03:23:21
2023-04-02,3485863,0.0,False,03:23:10
2023-04-18,3477840,0.0,False,03:22:56
2023-05-04,3497616,0.437,False,03:22:51
2023-05-20,3484965,0.382,False,03:22:41
2023-06-05,3474972,0.585,True,03:22:46
2023-06-21,3471668,0.0,False,03:22:53
2023-07-07,3485100,0.956,True,03:23:05
2023-07-23,3474399,0.883,True,03:23:09
2023-08-08,3476397,0.506,True,03:23:16
2023-08-24,3483547,0.0,False,03:23:24
2023-09-09,3469330,0.014,False,03:23:24
2023-09-25,3478199,0.124,False,03:23:30
2023-10-11,3481762,0.68,True,03:23:34
2023-10-27,3486405,0.605,True,03:23:37
2023-11-12,3474755,0.289,False,03:23:34
2023-11-28,3489343,0.699,True,03:23:39
2023-12-14,3481846,0.632,True,03:23:35
2023-01-12,1969006,0.034,False,03:24:10
2023-02-13,1918410,0.309,False,03:24:06
2023-03-01,1964736,0.0,False,03:23:52
2023-03-17,1949724,0.022,False,03:23:45
2023-04-02,1957682,0.0,False,03:23:34
2023-04-18,1975720,0.002,False,03:23:20
2023-05-04,1924711,0.56,True,03:23:15
2023-05-20,1960378,0.374,False,03:23:05
2023-06-05,1979351,0.757,True,03:23:10
2023-06-21,1991668,0.0,False,03:23:17
2023-07-07,1960629,0.996,True,03:23:29
2023-07-23,1980838,0.931,True,03:23:33
2023-08-08,1978532,0.0,False,03:23:40
2023-08-24,1957175,0.0,False,03:23:48
2023-09-09,1992144,0.0,False,03:23:48
2023-09-25,1976175,0.321,False,03:23:54
2023-10-11,1965566,0.472,False,03:23:58
2023-10-27,1954011,0.621,True,03:24:01
2023-11-12,1984186,0.321,False,03:23:58
2023-11-28,1945425,0.715,True,03:24:03
2023-12-14,1962641,0.85,True,03:23:59
